epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1501.86,1.16115,1.25438,0.26556,0.08369,0.03678,0.04748,0.01168,2.319,2.61405,0.53911,0.0700107,0.00333215,0.00333215
2,3025.58,1.25441,1.29095,0.29516,0.32806,0.0293,0.02034,0.00444,2.33141,2.34232,0.56239,0.0398787,0.0065335,0.0065335
3,4697.97,1.29047,1.25168,0.31194,0.24639,0.06297,0.03884,0.00877,2.33645,2.19046,0.58796,0.00961473,0.00960286,0.00960286
4,6371.09,1.27633,1.20598,0.30928,0.26644,0.07731,0.05098,0.01179,2.27918,2.07605,0.57599,0.009406,0.009406,0.009406
5,8052.56,1.27848,1.2031,0.31679,0.19244,0.10536,0.05458,0.01109,2.34008,1.92365,0.5863,0.009208,0.009208,0.009208
6,9746.78,1.31275,1.15237,0.32819,0.2717,0.07232,0.05194,0.01081,2.26571,1.91303,0.57474,0.00901,0.00901,0.00901
7,11412.7,1.3326,1.17555,0.33618,0.23717,0.1037,0.07708,0.01707,2.27857,1.93665,0.59082,0.008812,0.008812,0.008812
8,12838,1.28939,1.09426,0.32191,0.18822,0.09476,0.05348,0.01305,2.29516,1.70504,0.56232,0.008614,0.008614,0.008614
9,14256.2,1.27992,1.08429,0.32918,0.27542,0.14214,0.0886,0.0205,2.28192,1.83949,0.5886,0.008416,0.008416,0.008416
10,15675,1.32687,1.10196,0.33917,0.34446,0.12344,0.10263,0.02416,2.29827,1.70704,0.58812,0.008218,0.008218,0.008218
11,17142.6,1.28102,1.07018,0.32638,0.30419,0.12219,0.08244,0.0172,2.30421,1.69908,0.58139,0.00802,0.00802,0.00802
12,18958.5,1.27895,1.02817,0.32636,0.39003,0.17899,0.14216,0.03109,2.21873,1.63415,0.59043,0.007822,0.007822,0.007822
13,20786.1,1.26363,1.01055,0.32887,0.39453,0.16833,0.12461,0.02825,2.23404,1.71202,0.59183,0.007624,0.007624,0.007624
14,22605.5,1.32769,1.04092,0.34211,0.36056,0.18828,0.13281,0.02993,2.25738,1.62616,0.59606,0.007426,0.007426,0.007426
15,24429.7,1.28508,0.97295,0.33075,0.34713,0.18329,0.13941,0.03225,2.23243,1.58042,0.58339,0.007228,0.007228,0.007228
16,26257.5,1.27866,1.01819,0.3376,0.43397,0.19389,0.17438,0.04266,2.1783,1.60703,0.59316,0.00703,0.00703,0.00703
17,28088.6,1.3084,1.0225,0.33877,0.31327,0.18828,0.12538,0.02724,2.26489,1.62992,0.58241,0.006832,0.006832,0.006832
18,29918.8,1.30232,1.0257,0.34543,0.32739,0.18329,0.13462,0.03374,2.16587,1.56457,0.5894,0.006634,0.006634,0.006634
19,31750.9,1.30393,1.03129,0.35041,0.43205,0.21446,0.17111,0.0443,2.12066,1.57573,0.59475,0.006436,0.006436,0.006436
20,33580.8,1.27174,1.00746,0.34664,0.48102,0.19015,0.16789,0.04312,2.13833,1.60005,0.58893,0.006238,0.006238,0.006238
21,35411.8,1.29851,1.0199,0.34575,0.33869,0.15337,0.12348,0.03188,2.12965,1.74458,0.59138,0.00604,0.00604,0.00604
